AbTesting,Beaker24Regular
AccountSyncOutline,PersonSync24Regular
AccountTagOutline,Tag24Regular
AccountSupervisor,PeopleTeam24Regular
AccountTag,Tag24Regular
AccountSupervisorOutline,PeopleTeam24Regular
AccountSupervisorCircle,null
AccountSync,PersonSync24Regular
AccountTieVoice,PersonVoice24Regular
AccountTieHatOutline,Person24Regular
AccountVoice,Mic24Regular
AccountTieVoiceOffOutline,null
AccountTieWoman,Person24Regular
AccountTieVoiceOff,null
AccountTieOutline,People24Regular
AccountTieHat,PersonAccounts24Regular
AccountTie,Person24Regular
AccountTieVoiceOutline,PersonVoice24Regular
AirHorn,AirplaneTakeOff24Regular
AccountWrenchOutline,PersonEdit24Regular
AirConditioner,Temperature24Regular
AirHumidifier,null
Advertisements,MegaphoneLoud24Regular
AdvertisementsOff,null
Adjust,Filter24Regular
AirFilter,null
AccountWrench,PersonSupport24Regular
AccountVoiceOff,MicOff24Regular
Airballoon,null
AirPurifierOff,null
Airplane,Airplane24Regular
AirHumidifierOff,null
AirballoonOutline,Balloon24Regular
Airbag,AirplaneTakeOff24Regular
AirPurifier,null
AirplaneClock,null
AirplaneCheck,null
AirplaneAlert,null
AirplaneRemove,AirplaneTakeOff24Regular
AirplaneLanding,AirplaneTakeOff24Regular
AirplaneCog,AirplaneTakeOff24Regular
AirplanePlus,AirplaneTakeOff24Regular
AirplaneSettings,AirplaneRegular
AirplaneSearch,AirplaneTakeOff24Regular
AirplaneMinus,AirplaneTakeOff24Regular
AirplaneEdit,DrawImage24Regular
AirplaneMarker,AirplaneTakeOff24Regular
AirplaneOff,null
Airport,Airplane24Regular
AlarmLightOffOutline,null
Alarm,ClockAlarm24Regular
AlarmLight,AlertUrgent24Regular
AlarmLightOutline,AlertUrgent24Regular
AlarmMultiple,Clock24Regular
AlarmBell,null
AlarmCheck,null
AlarmLightOff,Lightbulb24Regular
AirplaneTakeoff,null
AlarmPanel,null
Album,Album24Regular
AlertBox,AlertUrgent24Regular
Alert,ErrorCircle24Regular
AlarmPanelOutline,Desktop24Regular
AlarmNoteOff,null
AlarmNote,AlertUrgent24Regular
AlarmPlus,null
AlarmOff,null
AlarmSnooze,null
AlertMinus,AlertUrgent24Regular
AlertCircleCheckOutline,Alert24Regular
AlertDecagram,StarEmphasis24Regular
AlertMinusOutline,AlertOffRegular
AlertCircleCheck,CheckmarkCircle24Regular
AlertBoxOutline,AlertUrgent24Regular
AlertCircle,Info24Regular
AlertOctagon,Alert24Regular
AlertDecagramOutline,null
AlertCircleOutline,Warning24Regular
AlertOctagram,AlertUrgent24Regular
AlertOutline,Alert24Regular
AlertPlus,AlertUrgent24Regular
AlertOctagramOutline,AlertUrgent24Regular
AlertRemoveOutline,DismissCircle24Regular
AlertRhombus,Warning24Regular
AlertRemove,Dismiss24Regular
AlertPlusOutline,AddCircle24Regular
AlertRhombusOutline,ErrorCircle24Regular
AlertOctagonOutline,ErrorCircle24Regular
Alien,null
AlignHorizontalRight,AlignRight24Regular
AlienOutline,null
AlignHorizontalLeft,TextAlignLeft24Regular
AlignVerticalTop,AlignTop24Regular
AlignVerticalDistribute,null
AlignHorizontalCenter,AlignCenterHorizontal24Regular
AlignVerticalCenter,null
AlignHorizontalDistribute,null
AlignVerticalBottom,AlignBottom24Regular
AllInclusiveBox,CheckboxIndeterminateRegular
Allergy,null
AlphaABox,null
AlphaA,TextDirectionHorizontalLtr24Regular
AllInclusiveBoxOutline,MathFormula24Regular
AlphaACircle,TextChangeCase24Regular
AllInclusive,null
Alpha,null
AlphaABoxOutline,null
AlphaACircleOutline,TextDirectionRotate270Right24Regular
AlphaC,TextFont24Regular
AlphaB,TextBold24Regular
AlphaBBoxOutline,TextDirectionHorizontalLtr24Regular
AlphaCCircleOutline,TextChangeCase24Regular
AlphaCBoxOutline,TextChangeCaseRegular
AlphaBCircle,null
AlphaBCircleOutline,null
AlphaBBox,TextBold24Regular
AlphaCBox,TextCaseUppercase24Regular
AlphaCCircle,TextCaseTitle24Regular
AlphaECircle,TextChangeCase24Regular
AlphaD,TextDensity24Regular
AlphaEBox,null
AlphaDBox,TextDensity24Regular
AlphaDBoxOutline,TextCaseLowercase24Regular
AlphaECircleOutline,null
AlphaDCircleOutline,null
AlphaDCircle,TextCaseUppercase24Regular
AlphaE,null
AlphaEBoxOutline,null
AlphaF,TextFont24Regular
AlphaGCircleOutline,TextChangeCase24Regular
AlphaG,TextItalic24Regular
AlphaFCircle,TextFont24Regular
AlphaGBoxOutline,TextCaseTitle24Regular
AlphaFBoxOutline,TextPositionSquare24Regular
AlphaGCircle,Globe24Regular
AlphaFBox,null
AlphaFCircleOutline,null
AlphaGBox,null
AlphaICircle,Info24Regular
AlphaIBox,TextItalic24Regular
AlphaHCircle,TextChangeCase24Regular
AlphaHBox,null
AlphaI,TextItalic24Regular
AlphaICircleOutline,TextItalic24Regular
AlphaH,TextFont24Regular
AlphaHBoxOutline,null
AlphaIBoxOutline,null
AlphaHCircleOutline,null
AlphaJCircle,null
AlphaKBox,TextBold24Regular
AlphaJBoxOutline,TextCaseTitle24Regular
AlphaJ,TextItalic24Regular
AlphaKBoxOutline,Keyboard24Regular
AlphaJBox,null
AlphaK,null
AlphaKCircle,null
AlphaJCircleOutline,TextChangeCase24Regular
AlphaKCircleOutline,null
AlphaL,TextItalic24Regular
AlphaLCircleOutline,TextCaseLowercase24Regular
AlphaM,TextT24Regular
AlphaMBoxOutline,TextCaseUppercase24Regular
AlphaMCircle,null
AlphaMCircleOutline,null
AlphaLBox,TextCaseUppercase24Regular
AlphaLBoxOutline,TextCaseUppercase24Regular
AlphaMBox,TextCaseTitle24Regular
AlphaLCircle,null
AlphaNBox,null
AlphaNCircleOutline,null
AlphaOBox,Textbox24Regular
AlphaNCircle,TextCaseTitle24Regular
AlphaOCircleOutline,null
AlphaOCircle,null
AlphaO,TextChangeCaseRegular
AlphaNBoxOutline,null
AlphaN,null
AlphaOBoxOutline,null
AlphaPCircleOutline,PersonPill24Regular
AlphaQBoxOutline,null
AlphaPBox,null
AlphaQCircleOutline,TextChangeCase24Regular
AlphaQ,TextCaseTitle24Regular
AlphaP,TextCaseUppercase24Regular
AlphaPCircle,TextCaseUppercase24Regular
AlphaQBox,TextChangeCase24Regular
AlphaPBoxOutline,TextCaseTitle24Regular
AlphaQCircle,null
AlphaSBox,TextCaseTitle24Regular
AlphaRBoxOutline,TextField24Regular
AlphaR,TextItalic24Regular
AlphaSCircleOutline,TextCaseTitle24Regular
AlphaRCircle,null
AlphaSCircle,TextCaseTitle24Regular
AlphaRCircleOutline,null
AlphaRBox,null
AlphaS,TextFont24Regular
AlphaSBoxOutline,null
AlphaTCircle,TextChangeCaseRegular
AlphaUCircle,null
AlphaT,TextT24Regular
AlphaTBoxOutline,TextT24Regular
AlphaTBox,Textbox24Regular
AlphaUBox,null
AlphaUCircleOutline,TextCaseUppercase24Regular
AlphaUBoxOutline,null
AlphaTCircleOutline,null
AlphaU,null
AlphaVCircle,null
AlphaW,TextT24Regular
AlphaWBoxOutline,TextDirectionRotate90Right24Regular
AlphaWBox,TextCaseTitle24Regular
AlphaWCircle,null
AlphaV,null
AlphaVBox,TextCaseTitle24Regular
AlphaVBoxOutline,TextboxRegular
AlphaVCircleOutline,null
AlphaWCircleOutline,TextCaseLowercase24Regular
AlphaX,TextCaseUppercase24Regular
AlphaXBox,MathFormulaRegular
AlphaYBoxOutline,TextCaseLowercase24Regular
AlphaXCircleOutline,TextChangeCase24Regular
AlphaYBox,TextCaseUppercase24Regular
AlphaXBoxOutline,null
AlphaYCircle,null
AlphaY,null
AlphaYCircleOutline,null
AlphaXCircle,DismissCircle24Regular
AlphaZCircleOutline,TextCaseTitle24Regular
AlphabetPiqad,null
AlphabetLatin,TextFont24Regular
AlphabetGreek,null
AlphabetAurebesh,null
AlphabetCyrillic,TextCaseTitle24Regular
AlphaZ,TextItalic24Regular
AlphaZBox,null
AlphaZBoxOutline,TextCaseUppercase24Regular
AlphaZCircle,TextChangeCaseRegular
Alphabetical,TextFont24Regular
AlphabeticalVariant,TextCaseTitle24Regular
AlphabeticalVariantOff,TextChangeCaseRegular
Amplifier,Speaker224Regular
AlphabeticalOff,TextChangeCaseRegular
AlphabetTengwar,null
Ampersand,null
Altimeter,null
Ambulance,VehicleCarProfileLtr24Regular
Ammunition,null
AndroidStudio,null
AmplifierOff,SpeakerMute24Regular
AngleRight,ArrowRight24Regular
AngleAcute,ChevronUp24Regular
Android,null
Animation,Emoji24Regular
Angularjs,null
Angular,null
Anchor,null
AngleObtuse,null
AnimationPlay,PlayRegular
Ansible,null
Apple,FoodApple24Regular
AnimationPlayOutline,PlayCircle24Regular
Api,Code24Regular
AnimationOutline,PlayCircle24Regular
ApiOff,PlugDisconnected24Regular
Anvil,null
ApacheKafka,null
Antenna,null
AppleIcloud,Cloud24Regular
Application,ArrowExport24Regular
AppleSafari,null
AppleFinder,null
AppleKeyboardCaps,null
AppleIos,null
AppleKeyboardOption,null
AppleKeyboardControl,Keyboard24Regular
AppleKeyboardCommand,null
AppleKeyboardShift,null
ApplicationBraces,Code24Regular
ApplicationBrackets,Code24Regular
ApplicationCogOutline,Settings24Regular
ApplicationCog,Settings24Regular
ApplicationBracesOutline,Code24Regular
ApplicationEditOutline,AppFolder24Regular
ApplicationBracketsOutline,Code24Regular
ApplicationArrayOutline,null
ApplicationArray,DataUsage24Regular
ApplicationEdit,AppFolder24Regular
ApplicationSettingsOutline,SettingsRegular
ApplicationExport,ArrowExport24Regular
ApproximatelyEqual,MathFormula24Regular
ApplicationImport,ArrowImport24Regular
ApplicationVariableOutline,null
ApplicationSettings,Settings24Regular
ApplicationParenthesesOutline,TextChangeCaseRegular
ApplicationOutline,AppFolder24Regular
ApplicationParentheses,Code24Regular
ApplicationVariable,null
AppsBox,AppFolder24Regular
ArchiveArrowDownOutline,ArrowDownload24Regular
ArchiveAlertOutline,ArchiveMultiple24Regular
Apps,Apps24Regular
ArchiveAlert,ArchiveMultiple24Regular
Arch,DockRow24Regular
ArchiveArrowDown,Archive24Regular
Archive,Archive24Regular
ApproximatelyEqualBox,MathFormulaRegular
ArchiveArrowUp,null
ArchiveClockOutline,ArchiveClock24Regular
ArchiveCogOutline,ArchiveSettings24Regular
ArchiveCog,ArchiveSettings24Regular
ArchiveClock,ArchiveClock24Regular
ArchiveEdit,ArchiveMultiple24Regular
ArchiveArrowUpOutline,ArrowUploadRegular
ArchiveCheck,ArchiveMultiple24Regular
ArchiveCancelOutline,ArchiveMultiple24Regular
ArchiveCancel,ArchiveMultiple24Regular
ArchiveCheckOutline,null
ArchiveEye,ArchiveArrowBack24Regular
ArchiveEyeOutline,ArchiveMultiple24Regular
ArchiveMinus,ArchiveMultiple24Regular
ArchiveMarkerOutline,ArchiveMultiple24Regular
ArchiveEditOutline,ArchiveMultiple24Regular
ArchiveLockOpenOutline,null
ArchiveLock,ArchiveMultiple24Regular
ArchiveMarker,ArchiveMultiple24Regular
ArchiveLockOutline,null
ArchiveLockOpen,ArchiveMultiple24Regular
ArchiveMinusOutline,ArchiveMultiple24Regular
ArchiveRefresh,ArchiveArrowBack24Regular
ArchiveMusicOutline,Archive24Regular
ArchiveMusic,ArchiveMultipleRegular
ArchivePlus,ArchiveMultiple24Regular
ArchiveRefreshOutline,ArchiveArrowBack24Regular
ArchiveOutline,Archive20Regular
ArchivePlusOutline,ArchiveMultiple24Regular
ArchiveOff,Archive20Regular
ArchiveOffOutline,null
ArchiveRemove,ArchiveMultiple24Regular
ArchiveSettings,ArchiveSettings24Regular
ArchiveSettingsOutline,ArchiveSettings24Regular
ArchiveSyncOutline,ArchiveMultiple24Regular
ArchiveSearch,ArchiveMultiple24Regular
ArchiveSearchOutline,ArchiveMultiple24Regular
ArchiveSync,null
ArchiveStarOutline,ArchiveMultiple24Regular
ArchiveStar,null
ArchiveRemoveOutline,ArchiveMultiple24Regular
ArmFlex,null
ArrowBottomLeftBoldBox,ArrowDownLeft24Filled
ArrowBottomLeft,ArrowUpLeft24Regular
ArrowBottomLeftBoldBoxOutline,ArrowBounce24Regular
ArrowAll,ArrowExpand24Regular
ArmFlexOutline,null
ArrangeBringToFront,null
ArrangeSendBackward,null
ArrangeSendToBack,Dismiss24Regular
ArrangeBringForward,null
ArrowBottomLeftBoldOutline,ArrowBounce24Regular
ArrowBottomRightBoldOutline,ArrowDownRight24Regular
ArrowBottomRightThin,ArrowDownRight24Regular
ArrowBottomLeftThin,ArrowDownLeft24Regular
ArrowBottomRight,ArrowDownRight24Regular
ArrowBottomRightThick,ArrowDownRight24Regular
ArrowBottomLeftThinCircleOutline,ArrowBounce24Regular
ArrowBottomRightBoldBox,null
ArrowBottomRightBoldBoxOutline,ArrowDownRight24Regular
ArrowBottomLeftThick,ArrowDownLeft24Regular
ArrowCollapseAll,ArrowCollapseAll24Regular
ArrowDecision,ArrowSplit24Regular
ArrowCollapseRight,ArrowRight24Regular
ArrowCollapseVertical,ArrowMinimizeVertical24Regular
ArrowCollapseHorizontal,ArrowMinimize24Regular
ArrowBottomRightThinCircleOutline,null
ArrowCollapse,ArrowCollapseAll24Regular
ArrowCollapseUp,ArrowUp24Regular
ArrowCollapseDown,null
ArrowCollapseLeft,ArrowLeft24Regular
ArrowDecisionAuto,ArrowRouting24Regular
ArrowDownBoldCircle,ArrowCircleDown24Regular
ArrowDecisionAutoOutline,ArrowAutofitDown24Regular
ArrowDownBoldBoxOutline,ArrowDownload24Regular
ArrowDownBoldCircleOutline,ArrowCircleDown24Regular
ArrowDown,ArrowDown24Regular
ArrowDownBoldHexagonOutline,null
ArrowDecisionOutline,ArrowBounce24Regular
ArrowDownBold,ArrowDown24Filled
ArrowDownBoldBox,ArrowDownload24Regular
ArrowDownBoldOutline,ArrowDown24Regular
ArrowDownRight,ArrowDownRight24Regular
ArrowDownRightBold,ArrowDownRight24Regular
ArrowDownLeftBold,ArrowDownLeft24Filled
ArrowDownCircle,ArrowCircleDown24Regular
ArrowDownCircleOutline,ArrowCircleDown24Regular
ArrowDownDropCircleOutline,ArrowCircleDown24Regular
ArrowDownLeft,ArrowDownLeft24Regular
ArrowDownBox,ArrowSquareDown24Regular
ArrowDownDropCircle,ArrowCircleDown24Regular
ArrowExpandHorizontal,ArrowExpand24Regular
ArrowExpand,ArrowExpand24Regular
ArrowExpandAll,ArrowExpand24Regular
ArrowDownThin,ArrowDown24Regular
ArrowExpandDown,ArrowDownload24Regular
ArrowDownThinCircleOutline,ArrowCircleDown24Regular
ArrowDownThick,ArrowDown24Regular
ArrowExpandUp,ArrowUp24Regular
ArrowExpandRight,ArrowAutofitWidthRegular
ArrowExpandLeft,null
ArrowLeftBoldOutline,ArrowLeft24Regular
ArrowLeft,ArrowLeft24Regular
ArrowLeftBoldBoxOutline,ArrowPrevious24Regular
ArrowLeftBold,ArrowPrevious24Regular
ArrowLeftBoldCircle,ArrowCircleLeft24Regular
ArrowLeftBoldHexagonOutline,ArrowLeft20Regular
ArrowLeftBoldCircleOutline,ArrowCircleLeft24Regular
ArrowExpandVertical,null
ArrowHorizontalLock,null
ArrowLeftBoldBox,null
ArrowLeftCircleOutline,ArrowCircleLeft24Regular
ArrowLeftCircle,ArrowCircleLeft24Regular
ArrowLeftRight,ArrowSwap24Regular
ArrowLeftBottom,ArrowBounce24Regular
ArrowLeftRightBoldOutline,ArrowSwap24Regular
ArrowLeftRightBold,ArrowSwap24Regular
ArrowLeftBottomBold,ArrowDownLeft24Regular
ArrowLeftBox,ArrowExportLtr24Regular
ArrowLeftDropCircleOutline,ArrowCircleLeft24Regular
ArrowLeftDropCircle,ArrowCircleLeft24Regular
ArrowLeftThick,ArrowPrevious24Regular
ArrowOscillating,null
ArrowLeftTopBold,ArrowUpLeft24Regular
ArrowLeftTop,ArrowUpLeft24Regular
ArrowLeftThinCircleOutline,ArrowCircleLeft24Regular
ArrowLeftThin,ArrowLeft24Regular
ArrowOscillatingOff,ArrowShuffle24Regular
ArrowRight,ArrowRight24Regular
ArrowProjectileMultiple,null
ArrowProjectile,ArrowUpRight24Regular
ArrowRightBoldBox,ArrowExportRtl24Regular
ArrowRightBold,ArrowRight24Filled
ArrowRightBoldOutline,ArrowRight24Regular
ArrowRightBoldCircle,ArrowCircleRight24Regular
ArrowRightBox,ArrowExport24Regular
ArrowRightBottom,ArrowBounce24Regular
ArrowRightBoldBoxOutline,ArrowCircleRight24Regular
ArrowRightBoldHexagonOutline,null
ArrowRightBottomBold,ArrowDownRight24Regular
ArrowRightBoldCircleOutline,ArrowCircleRight24Regular
ArrowRightThick,ArrowRight24Regular
ArrowRightThinCircleOutline,ArrowCircleRight24Regular
ArrowRightTopBold,ArrowUpRight24Regular
ArrowRightCircle,ArrowCircleRight24Regular
ArrowRightCircleOutline,ArrowCircleRight24Regular
ArrowRightDropCircleOutline,ArrowCircleRight24Regular
ArrowRightTop,ArrowUpRight24Regular
ArrowRightThin,ArrowRight24Regular
ArrowSplitHorizontal,BranchFork24Regular
ArrowRightDropCircle,ChevronCircleRight24Regular
ArrowTopLeftBoldBox,ArrowUpLeft24Filled
ArrowTopLeftThick,ArrowUpLeft24Regular
ArrowTopLeftBottomRightBold,ArrowSwapRegular
ArrowTopLeftBoldBoxOutline,ArrowUpLeft24Regular
ArrowTopLeftThinCircleOutline,ArrowCircleUpLeft24Regular
ArrowTopLeft,ArrowUpLeft24Regular
ArrowTopLeftBottomRight,ArrowMinimize24Regular
ArrowTopLeftThin,ArrowUpLeft24Regular
ArrowTopLeftBoldOutline,ArrowUpLeftRegular
ArrowSplitVertical,ArrowSplit24Regular
ArrowTopRight,ArrowUpRight24Regular
ArrowTopRightThin,ArrowUpRight24Regular
ArrowTopRightBottomLeftBold,ArrowMinimize24Regular
ArrowUDownLeft,ArrowCurveDownLeft24Regular
ArrowTopRightBottomLeft,ArrowExpand24Regular
ArrowTopRightBoldBox,ArrowUpRight24Regular
ArrowTopRightBoldOutline,ArrowUpRight24Regular
ArrowTopRightThick,ArrowUpRight24Regular
ArrowTopRightThinCircleOutline,ArrowCircleUpRight24Regular
ArrowTopRightBoldBoxOutline,ArrowExportUp20Regular
ArrowURightBottom,ArrowBounce24Regular
ArrowUDownLeftBold,ArrowDownLeft24Filled
ArrowULeftBottom,ArrowCurveDownLeft24Regular
ArrowULeftTop,ArrowUpLeft24Regular
ArrowURightTop,ArrowUpRight24Regular
ArrowULeftTopBold,ArrowUpLeft24Filled
ArrowULeftBottomBold,ArrowCurveDownLeft24Regular
ArrowUDownRightBold,ArrowDownRight24Regular
ArrowURightBottomBold,null
ArrowUDownRight,ArrowDownRight24Regular
ArrowUUpLeft,ArrowUpLeft24Regular
ArrowUpBoldCircle,ArrowCircleUp24Regular
ArrowUp,ArrowUp24Regular
ArrowUUpLeftBold,ArrowUpLeft24Filled
ArrowUpBold,ArrowUp24Filled
ArrowUUpRight,ArrowUpRight24Regular
ArrowUUpRightBold,ArrowUpRight24Regular
ArrowURightTopBold,ArrowUpRight24Filled
ArrowUpBoldBox,null
ArrowUpBoldBoxOutline,null
ArrowUpBoldOutline,ArrowUp24Regular
ArrowUpCircle,ArrowCircleUp24Regular
ArrowUpBoldCircleOutline,ArrowCircleUpRegular
ArrowUpCircleOutline,ArrowCircleUpRegular
ArrowUpDown,ArrowSwap24Regular
ArrowUpBoldHexagonOutline,ArrowUp24Regular
ArrowUpBox,ArrowUp24Regular
ArrowUpDownBold,ArrowSort24Filled
ArrowUpDownBoldOutline,ArrowBidirectionalUpDownRegular
ArrowUpDropCircle,ArrowCircleUp24Regular
ArrowUpRightBold,ArrowUpRight24Filled
ArrowUpThick,ArrowUp24Regular
ArrowUpThin,ArrowUp24Regular
ArrowUpLeftBold,ArrowUpLeft24Filled
ArrowUpRight,ArrowUpRight24Regular
ArrowUpLeft,ArrowUpLeft24Regular
ArrowUpThinCircleOutline,ArrowCircleUp24Regular
ArrowUpDropCircleOutline,ArrowCircleUp24Regular
Artboard,DocumentRegular
ArrowVerticalLock,null
Assistant,Bot24Regular
Atom,Molecule24Regular
AtomVariant,null
AspectRatio,Crop24Regular
Artstation,null
AsteriskCircleOutline,null
At,Mention24Regular
Atm,null
Asterisk,null
Atlassian,null
AttachmentRemove,Attach20Regular
Attachment,Attach24Regular
AudioInputStereoMinijack,HeadphonesSoundWave24Regular
Atv,null
AttachmentOff,Attach24Regular
AttachmentCheck,Attach24Regular
AudioInputRca,PortHdmi24Regular
AttachmentLock,DocumentLock24Regular
AttachmentMinus,null
AttachmentPlus,null
Aurora,null
AudioVideoOff,CallEnd24Regular
Autorenew,ArrowRotateClockwise24Regular
AudioVideo,VideoPerson24Regular
AudioInputXlr,MicProhibited24Regular
AutoDownload,ArrowDownload24Regular
AutoUpload,ArrowUpload24Regular
AutoFix,Wand24Regular
AutoMode,ArrowAutofitWidth24Regular
AugmentedReality,null
Aws,null
AxisArrowInfo,ArrowExportUpRegular
AxeBattle,null
Axis,ArrowSort24Regular
AxisArrow,ArrowMaximizeVerticalRegular
Awning,null
AwningOutline,null
AvTimer,Timer1024Regular
Axe,null
AutorenewOff,null
AxisXArrow,ArrowSort24Regular
AxisYArrow,ArrowCurveDownLeft24Regular
AxisXYArrowLock,AlignStraighten24Regular
AxisLock,null
AxisXRotateClockwise,ArrowRotateClockwise24Regular
AxisXRotateCounterclockwise,ArrowRotateCounterclockwise24Regular
AxisYArrowLock,ArrowSortUpLinesRegular
AxisXArrowLock,ArrowMaximizeVerticalRegular
AxisYRotateClockwise,ArrowRotateClockwise24Regular
AxisArrowLock,ArrowRotateClockwise24Regular
AxisYRotateCounterclockwise,null
AxisZArrow,ArrowSortUp24Regular
AxisZRotateCounterclockwise,ArrowRotateCounterclockwise24Regular
AxisZRotateClockwise,RotateRight24Regular
Babel,null
BabyBottle,null
BabyBottleOutline,null
BabyBuggy,null
Baby,AnimalCat24Regular
AxisZArrowLock,ArrowCircleDownRight24Regular
BackspaceReverseOutline,ArrowUndo24Regular
Backspace,Backspace24Regular
Backburger,Navigation24Regular
BackspaceOutline,Delete24Regular
BabyBuggyOff,null
BabyFaceOutline,EmojiSmileSlight24Regular
BackspaceReverse,BackspaceRegular
BabyCarriageOff,null
BabyCarriage,null
BabyFace,Emoji24Regular
BadgeAccountHorizontal,Badge24Regular
BadgeAccount,Badge24Regular
BacteriaOutline,null
BackupRestore,ArrowRotateClockwise24Regular
BadgeAccountHorizontalOutline,Badge24Regular
BadgeAccountOutline,Badge24Regular
BadgeAccountAlertOutline,PersonAlert24Regular
BadgeAccountAlert,AlertUrgent24Regular
Badminton,null
Bacteria,Beaker24Regular
BagPersonalOffOutline,null
BagCarryOn,Luggage24Regular
BagPersonalOff,null
BagChecked,CheckmarkCircle24Regular
BagCarryOnOff,null
BagPersonalPlus,null
BagPersonalPlusOutline,null
BagPersonalOutline,Backpack24Regular
BagPersonal,null
BagCarryOnCheck,null
BagSuitcase,Luggage24Regular
BagSuitcaseOff,null
Baguette,null
BagSuitcaseOutline,Luggage24Regular
Balcony,null
Balloon,Balloon24Regular
BagSuitcaseOffOutline,null
BagPersonalTagOutline,ShoppingBagTagRegular
Ballot,Poll24Regular
BagPersonalTag,ShoppingBagTag24Regular
BankCircle,Home24Regular
Bank,BuildingBank24Regular
BallotRecountOutline,null
Bandage,Note24Regular
BankOff,Dismiss24Regular
BankCheck,CheckboxIndeterminate24Regular
BankCircleOutline,null
BallotRecount,null
BallotOutline,Vote24Regular
BankMinus,null
BankOffOutline,null
BankTransferIn,ArrowTrendingDown24Regular
